NO SeismicName time xAcc yAcc zAcc dropCount escapedPedestrain escapedPerSec
0 RSN1063_NORTHR 0 0.01321597 -4.002625E-05 0.002741646 0 0 0
0 RSN1063_NORTHR 1 -0.4371138 3.023853 0.3641687 0 0 0
0 RSN1063_NORTHR 2 -1.047938 -0.6852412 0.4935824 0 0 0
0 RSN1063_NORTHR 3 -1.361557 1.972698 -2.866893 28 1 1
0 RSN1063_NORTHR 4 0.106823 0.9325095 1.660942 119 1 0
0 RSN1063_NORTHR 5 -0.7755237 1.583027 -0.3808303 5 1 0
0 RSN1063_NORTHR 6 0.4013714 0.06704283 -1.257572 3 3 2
0 RSN1063_NORTHR 7 0.07666689 -0.4707184 1.07851 1 5 2
0 RSN1063_NORTHR 8 0.6400422 0.2321469 0.1314265 0 8 3
0 RSN1063_NORTHR 9 0.2239774 0.3085476 -0.1139213 1 10 2
0 RSN1063_NORTHR 10 -0.1466631 0.0259225 0.1004347 0 13 3
0 RSN1063_NORTHR 11 -0.1526317 0.2150039 0.4988219 0 16 3
0 RSN1063_NORTHR 12 0.5405338 -0.02568938 -0.2079545 1 20 4
0 RSN1063_NORTHR 13 -0.07607128 0.06730895 0.04017048 0 23 3
0 RSN1063_NORTHR 14 -0.0853321 0.1340331 0.237224 0 27 4
0 RSN1063_NORTHR 15 0.04025584 -0.1730354 -0.09696694 0 34 7
0 RSN1063_NORTHR 16 0.0637715 0.007992504 0.1326503 0 38 4
0 RSN1063_NORTHR 17 0.239675 -0.0002165123 0.03893523 0 43 5
0 RSN1063_NORTHR 18 0.1493823 0.001286703 -0.1809741 0 44 1
0 RSN1063_NORTHR 19 0.1370338 0.02591529 0.01232719 0 49 5
0 RSN1063_NORTHR 20 0 0 0 0 50 1
1 RSN1063_NORTHR 0.24 -0.004541596 0.02392388 0.02076828 0 0 -50
1 RSN1063_NORTHR 1.24 0.2159797 1.539077 0.04865588 0 0 0
1 RSN1063_NORTHR 2.24 -0.3946165 0.01710769 -2.101416 0 0 0
1 RSN1063_NORTHR 3.24 -0.1570267 -0.01442979 -1.065368 3 1 1
1 RSN1063_NORTHR 4.24 -1.101404 1.03936 1.386202 59 1 0
1 RSN1063_NORTHR 5.24 -0.1712214 0.7842425 1.009426 1 1 0
1 RSN1063_NORTHR 6.24 0.8587087 1.212619 -0.09433357 1 3 2
1 RSN1063_NORTHR 7.24 -1.321849 0.3288031 0.6045821 1 5 2
1 RSN1063_NORTHR 8.24 0.08676506 0.6970366 -0.4201356 0 8 3
1 RSN1063_NORTHR 9.24 -0.6483161 0.08269332 0.5781321 0 11 3
1 RSN1063_NORTHR 10.24 -0.1596897 -0.1329479 0.3385116 3 13 2
1 RSN1063_NORTHR 11.24 0.2836541 -0.1495989 -0.1732037 0 17 4
1 RSN1063_NORTHR 12.24 0.183304 -0.03772264 0.08466016 0 20 3
1 RSN1063_NORTHR 13.24 0.09273699 -0.08889839 -0.1293412 0 24 4
1 RSN1063_NORTHR 14.24 -0.05752657 -0.05704762 -0.125158 0 29 5
1 RSN1063_NORTHR 15.24 0.004408772 0.1197603 -0.2509986 0 35 6
1 RSN1063_NORTHR 16.24 0.04428285 0.02458789 -0.2720614 0 40 5
1 RSN1063_NORTHR 17.24 -0.08254128 0.005917255 -0.09121267 0 43 3
1 RSN1063_NORTHR 18.24 0.09146646 -0.02760363 -0.256207 0 47 4
1 RSN1063_NORTHR 19.24 0.05405413 0.04913357 -0.03797096 0 49 2
1 RSN1063_NORTHR 20.24 0 0 0 0 50 1
2 RSN1063_NORTHR 0.24 -0.004541596 0.02392388 0.02076828 0 0 -50
2 RSN1063_NORTHR 1.24 0.2159797 1.539077 0.04865588 0 0 0
2 RSN1063_NORTHR 2.24 -0.3946165 0.01710769 -2.101416 0 0 0
2 RSN1063_NORTHR 3.24 -0.1570267 -0.01442979 -1.065368 3 1 1
2 RSN1063_NORTHR 4.24 -1.101404 1.03936 1.386202 64 1 0
2 RSN1063_NORTHR 5.24 -0.1712214 0.7842425 1.009426 3 1 0
2 RSN1063_NORTHR 6.24 0.8587087 1.212619 -0.09433357 3 3 2
2 RSN1063_NORTHR 7.36 0.2136405 -0.06446595 -0.5855274 3 5 2
2 RSN1063_NORTHR 8.24 0.08676506 0.6970366 -0.4201356 1 8 3
2 RSN1063_NORTHR 9.36 1.441065 0.2573069 0.3895678 1 10 2
2 RSN1063_NORTHR 10.24 -0.1596897 -0.1329479 0.3385116 0 12 2
2 RSN1063_NORTHR 11.24 0.2836541 -0.1495989 -0.1732037 2 16 4
2 RSN1063_NORTHR 12.24 0.183304 -0.03772264 0.08466016 0 19 3
2 RSN1063_NORTHR 13.24 0.09273699 -0.08889839 -0.1293412 0 23 4
2 RSN1063_NORTHR 14.24 -0.05752657 -0.05704762 -0.125158 0 27 4
2 RSN1063_NORTHR 15.24 0.004408772 0.1197603 -0.2509986 0 33 6
2 RSN1063_NORTHR 16.24 0.04428285 0.02458789 -0.2720614 0 38 5
2 RSN1063_NORTHR 17.24 -0.08254128 0.005917255 -0.09121267 0 41 3
2 RSN1063_NORTHR 18.24 0.09146646 -0.02760363 -0.256207 0 44 3
2 RSN1063_NORTHR 19.24 0.05405413 0.04913357 -0.03797096 0 48 4
2 RSN1063_NORTHR 20.24 0 0 0 0 49 1
2 RSN1063_NORTHR 21.24 0 0 0 0 50 1
